USE_DATE,ES,EUSE
201801,11,335.5
201802,11,313.5
201803,11,280.5
201804,11,332.75
201805,11,294.25
201806,11,330
201807,11,343.75
201808,11,552.75
201809,11,442.75
201810,11,343.75
201811,11,376.75
201812,11,338.25
201901,11,308
201902,11,332.75
201903,11,324.5
201904,11,357.5
201905,11,310.75
201906,11,305.25
201907,11,330
201908,11,313.5
201909,11,357.5
201910,11,341
201911,11,330
201912,11,302.5
