loc,t_avg,t_min,t_max,ws_max,wd_max,ws_avg,dt_avg,rh_min,rh_avg,sol_tot_rad,cld_tot_avg,year,mon,USE_YM
100,-7.07096774193548,-12.1032258064516,-2.11935483870968,8.63548387096774,254.516129032258,4.88709677419355,-14.4032258064516,34.4516129032258,59.0774193548387,9.7158064516129,NaN,2016,01,201601
100,-4.1,-9.16896551724138,0.83448275862069,8.34482758620689,261.379310344828,4.32413793103448,-10.8344827586207,36.8965517241379,62.8448275862069,11.9924137931034,NaN,2016,02,201602
100,1.94516129032258,-3.58387096774193,7.45161290322581,7.21290322580645,231.290322580645,3.51290322580645,-5.53225806451613,38.5161290322581,62.9258064516129,14.5822580645161,NaN,2016,03,201603
100,8.91333333333333,2.5,15.69,8.27333333333333,220.333333333333,4.26,0.803333333333333,34.7,62.7033333333333,18.1923333333333,NaN,2016,04,201604
100,13.9903225806452,6.41290322580645,21.1483870967742,7.87096774193548,211.290322580645,3.94193548387097,5.14516129032258,29.8064516129032,60.9806451612903,22.4667741935484,NaN,2016,05,201605
100,17.1866666666667,11.9466666666667,23.0133333333333,5.62333333333333,191.333333333333,2.56,12.4233333333333,49.5,76.53,20.3686666666667,NaN,2016,06,201606
100,20.1451612903226,16.7290322580645,24.3838709677419,5.54516129032258,184.193548387097,2.73870967741935,17.5677419354839,65.9032258064516,86.4193548387097,15.408064516129,NaN,2016,07,201607
100,20.4645161290323,16.141935483871,25.658064516129,5.42903225806452,147.096774193548,2.50967741935484,17.4709677419355,59.9677419354839,84.9,17.4477419354839,NaN,2016,08,201608
100,15.8965517241379,12.34,20.5566666666667,4.72666666666667,136.666666666667,2.02,13.8896551724138,64.3,89.2827586206896,10.8283333333333,NaN,2016,09,201609
100,9.82903225806452,5.21935483870968,15.1967741935484,5.63870967741935,184.516129032258,2.41935483870968,6.78709677419355,57.2258064516129,83.8677419354839,9.75774193548387,NaN,2016,10,201610
100,2.48333333333333,-2.98,7.42333333333333,7.32666666666667,241,3.38666666666667,-2.3,48.3666666666667,73.3133333333333,9.17133333333333,NaN,2016,11,201611
100,-2.70645161290323,-8.69677419354839,2.33870967741935,7.47096774193548,246.129032258065,3.75161290322581,-7.65806451612903,48.741935483871,72.1387096774193,7.63290322580645,NaN,2016,12,201612
101,-4.7258064516129,-10.0935483870968,1.10322580645161,3.41290322580645,234.838709677419,1.20322580645161,-11.5193548387097,35.0322580645161,63.7612903225807,8.06451612903226,3.49032258064516,2016,01,201601
101,-1.2448275862069,-6.95862068965517,4.83103448275862,4.11034482758621,252.758620689655,1.38965517241379,-8.98275862068965,33.1379310344828,60.3275862068965,9.88310344827586,3.81379310344828,2016,02,201602
101,5.91612903225806,-0.519354838709677,12.7483870967742,3.89354838709677,234.838709677419,1.36451612903226,-2.5741935483871,30.1290322580645,60.1774193548387,13.9932258064516,4.16774193548387,2016,03,201603
101,14.0366666666667,7.29666666666667,21.1733333333333,4.53333333333333,212.333333333333,1.8,4.25666666666667,26.9666666666667,57.91,16.783,4.78666666666667,2016,04,201604
101,18.8870967741936,12.3064516129032,25.9290322580645,3.88709677419355,270.967741935484,1.61935483870968,10.4258064516129,31.6129032258065,64.3483870967742,19.1651612903226,4.75483870967742,2016,05,201605
101,23.4133333333333,18.39,29.0066666666667,3.41333333333333,258.333333333333,1.42,17.01,42.4666666666667,71.0933333333333,19.11,5.21666666666667,2016,06,201606
101,25.2451612903226,21.958064516129,29.4451612903226,3.14838709677419,236.451612903226,1.25161290322581,21.941935483871,59.3870967741936,84.3387096774194,13.9213333333333,7.43225806451613,2016,07,201607
101,26.5129032258065,22.4645161290323,31.8129032258064,3.41612903225806,258.064516129032,1.4741935483871,21.8774193548387,48.4516129032258,78.5064516129032,16.888064516129,4.79677419354839,2016,08,201608
101,21.1866666666667,17.36,26.6,3.11333333333333,247.333333333333,1.21333333333333,17.2433333333333,50.4,80.8433333333333,13.0336666666667,6.07333333333333,2016,09,201609
101,14.6032258064516,10.2129032258064,20.2838709677419,3.00322580645161,258.064516129032,1.15483870967742,10.241935483871,46.7741935483871,78.358064516129,10.018064516129,NaN,2016,10,201610
101,5.42,0.53,10.7333333333333,2.81333333333333,244,1.00666666666667,0.396666666666667,45.3,73.8366666666667,7.07,NaN,2016,11,201611
101,0.0516129032258063,-4.32258064516129,4.90645161290323,3.05806451612903,285.806451612903,1.12903225806452,-4.38064516129032,49.5161290322581,75.3032258064516,6.35354838709678,NaN,2016,12,201612
102,-1.93870967741936,-3.76451612903226,0.225806451612903,7.61935483870968,240.322580645161,4.20967741935484,-8.27096774193548,50.8387096774194,62.7935483870968,NaN,5.56774193548387,2016,01,201601
102,0.555172413793104,-1.57241379310345,2.95862068965517,8.3448275862069,248.275862068966,4.39310344827586,-7.36551724137931,40.6551724137931,57.148275862069,NaN,3.92758620689655,2016,02,201602
102,5.02258064516129,2.35806451612903,8.1741935483871,7.5,227.741935483871,4.23225806451613,-1.97096774193548,42.9354838709677,63.858064516129,NaN,3.34516129032258,2016,03,201603
102,10.32,7.16,14.5833333333333,8.26333333333333,203,4.31333333333333,3.18,39.2333333333333,66.4633333333333,NaN,5.07,2016,04,201604
102,15.8709677419355,12.7354838709677,19.8387096774194,8.83548387096774,210.967741935484,4.73548387096774,7.56129032258065,41.3870967741936,64.9354838709677,NaN,5.05806451612903,2016,05,201605
102,19.97,17.33,23.45,7.05,225.666666666667,3.59666666666667,17.11,67.5333333333333,85.6566666666667,NaN,5.89,2016,06,201606
102,22.6548387096774,20.3612903225806,25.5677419354839,6.76129032258064,205.806451612903,3.59032258064516,21.4322580645161,82.741935483871,93.5129032258065,NaN,7.29677419354839,2016,07,201607
102,24.7548387096774,22.2548387096774,27.6935483870968,5.21612903225807,231.612903225806,2.82903225806452,21.5032258064516,68.0967741935484,83.2709677419355,NaN,4.27741935483871,2016,08,201608
102,20.4166666666667,18.0466666666667,23.86,5.03,192.666666666667,2.56666666666667,17.26,61.1,83.22,NaN,5.33,2016,09,201609
102,15.0193548387097,12.6903225806452,17.8258064516129,6.8258064516129,181.612903225806,3.35806451612903,9.22258064516129,50.8064516129032,70.8290322580645,NaN,5.47096774193548,2016,10,201610
102,7.48,4.87333333333333,9.68666666666667,7.70333333333333,214,4.05666666666667,1.40666666666667,50.6666666666667,67.2266666666666,NaN,6.31,2016,11,201611
102,3.02258064516129,0.735483870967742,5.63225806451613,7.69032258064516,233.548387096774,3.97096774193548,-2.9741935483871,50.6129032258064,66.141935483871,NaN,5.63548387096774,2016,12,201612
104,0.070967741935484,-4.34516129032258,4.51935483870968,4.93225806451613,244.193548387097,2.10322580645161,-11.2935483870968,25.5161290322581,46.3967741935484,12.2687096774194,2.66129032258064,2016,01,201601
104,1.55862068965517,-2.58275862068966,5.48275862068965,4.88965517241379,252.758620689655,2.06206896551724,-7.1,34.7586206896552,56.8724137931034,14.658275862069,3.8448275862069,2016,02,201602
104,7.21935483870968,2.68387096774194,11.4387096774194,4.24838709677419,197.41935483871,1.71612903225806,-2.16451612903226,36.7096774193548,56.1451612903226,16.6583870967742,4.45161290322581,2016,03,201603
104,13.45,8.19,18.6366666666667,5.32333333333333,222.333333333333,2.11333333333333,4.32666666666667,35.7333333333333,60.1166666666667,16.122,5.44333333333333,2016,04,201604
104,18.2193548387097,13.1483870967742,23.6258064516129,4.8258064516129,210.645161290323,1.96774193548387,8.78387096774194,34.8387096774194,58.5451612903226,19.7054838709677,4.51290322580645,2016,05,201605
104,20.79,17.34,24.8833333333333,3.69666666666667,190.666666666667,1.42,16.0833333333333,57.8,77.5533333333333,16.392,6.36333333333333,2016,06,201606
104,23.1322580645161,20.4032258064516,26.4387096774194,3.28064516129032,213.548387096774,1.2,20.3322580645161,69.9032258064516,85.6451612903226,12.2412903225806,7.81935483870968,2016,07,201607
104,24.941935483871,21.4806451612903,28.8548387096774,3.28387096774194,191.935483870968,1.31290322580645,21.0290322580645,61.0322580645161,80.3258064516129,15.8393548387097,5.47741935483871,2016,08,201608
104,20.0266666666667,17.14,23.4966666666667,3.09666666666667,223.333333333333,1.15666666666667,17.5833333333333,69.5,86.9333333333333,8.89666666666667,7.59,2016,09,201609
104,14.9387096774194,11.6451612903226,19.0903225806452,3.47741935483871,208.387096774194,1.29354838709677,10.5612903225806,52.5806451612903,77.2806451612903,7.34903225806452,5.96451612903226,2016,10,201610
104,8.64,4.14,13.1166666666667,4.31,253.666666666667,1.67666666666667,0.853333333333333,39.1333333333333,61.14,7.081,4.26666666666667,2016,11,201611
104,4.46774193548387,0.0903225806451612,8.71612903225807,4.82903225806452,238.064516129032,1.8,-4.36451612903226,38.2258064516129,57.0161290322581,6.16741935483871,4.34516129032258,2016,12,201612
105,0.425806451612903,-3.11935483870968,4.69032258064516,6.15806451612903,277.096774193548,3.43548387096774,-13.6870967741935,21.7741935483871,37.2064516129032,10.1851612903226,NaN,2016,01,201601
105,1.91724137931034,-1.58275862068965,5.9551724137931,5.39655172413793,261.724137931034,2.7,-9.55862068965517,26.9655172413793,46.4655172413793,12.3124137931034,NaN,2016,02,201602
105,7.93548387096774,3.70967741935484,12.3870967741935,4.88064516129032,227.41935483871,2.40322580645161,-3.79677419354839,32.1290322580645,48.9032258064516,14.2106451612903,NaN,2016,03,201603
105,14.1033333333333,9.24333333333333,19.33,5.68333333333333,199.666666666667,2.56666666666667,2.66,30.5,51.84,18.912,NaN,2016,04,201604
105,19.2741935483871,14.241935483871,24.8709677419355,5.50322580645161,235.161290322581,2.50322580645161,6.84838709677419,27.0645161290323,48.7290322580645,23.0864516129032,NaN,2016,05,201605
105,21.87,18.3233333333333,25.91,4.1,166.666666666667,1.79333333333333,14.51,48.6666666666667,66.2233333333333,19.397,NaN,2016,06,201606
105,24.1032258064516,21.2193548387097,27.5838709677419,3.71612903225807,156.774193548387,1.47741935483871,18.8,58.8064516129032,74.1451612903226,15.3054838709677,NaN,2016,07,201607
105,25.7645161290323,22.2161290322581,29.8387096774194,4,197.096774193548,2.01290322580645,19.3806451612903,51.3548387096774,69.5129032258064,18.5090322580645,NaN,2016,08,201608
105,20.6433333333333,17.5766666666667,24.27,3.7,188.666666666667,1.56666666666667,16.0133333333333,59.2666666666667,76.0533333333333,11.348,NaN,2016,09,201609
105,15.5903225806452,12.1967741935484,19.7709677419355,4.45483870967742,247.096774193548,1.86451612903226,8.83548387096774,46.2903225806452,66.6387096774193,9.81129032258065,NaN,2016,10,201610
105,9.07,4.71,13.6433333333333,5.06333333333333,273.333333333333,2.29666666666667,-0.843333333333333,33.7333333333333,52.9566666666667,9.35933333333333,NaN,2016,11,201611
105,4.99032258064516,1.16129032258065,9.21290322580645,5.60645161290322,272.903225806452,2.82903225806452,-6.38064516129032,32.4193548387097,48.458064516129,7.81258064516129,NaN,2016,12,201612
106,2.15161290322581,-2.00322580645161,6.23870967741936,6.05806451612903,248.387096774194,2.42903225806452,-11.8709677419355,21.741935483871,39.2354838709677,NaN,NaN,2016,01,201601
106,3.37241379310345,-0.220689655172414,7.14137931034483,5.73793103448276,241.034482758621,2.36551724137931,-6.83448275862069,29.551724137931,51.4448275862069,NaN,NaN,2016,02,201602
106,8.50645161290323,4.47741935483871,12.5193548387097,5.51935483870968,222.903225806452,2.01612903225806,-0.403225806451613,37.8064516129032,57.6,NaN,NaN,2016,03,201603
106,13.92,9.64333333333333,18.6333333333333,6.55333333333333,227,2.40666666666667,6.01333333333333,40.5333333333333,64.04,NaN,NaN,2016,04,201604
106,18.0838709677419,13.9774193548387,23.1645161290323,5.33870967741935,209.354838709677,2.00645161290323,10.0354838709677,39.1290322580645,63.0935483870968,NaN,NaN,2016,05,201605
106,21.19,18.25,24.58,4.82333333333333,189.666666666667,1.68,16.9033333333333,61.5,79.02,NaN,NaN,2016,06,201606
106,23.4387096774194,21.4903225806452,26.2258064516129,3.90645161290323,189.677419354839,1.23870967741936,21.1903225806452,73.9354838709677,88.241935483871,NaN,NaN,2016,07,201607
106,25.5967741935484,22.4032258064516,29.1516129032258,4.72258064516129,171.290322580645,1.78064516129032,22.0645161290323,64.6129032258064,82.0161290322581,NaN,NaN,2016,08,201608
106,21,18.3733333333333,24.1466666666667,4.39,234,1.70333333333333,18.4533333333333,69.8666666666667,86.34,NaN,NaN,2016,09,201609
106,16.1677419354839,12.7129032258064,19.9129032258064,4.8258064516129,202.258064516129,1.87096774193548,11.7774193548387,55.5161290322581,77.0322580645161,NaN,NaN,2016,10,201610
106,10.1233333333333,5.76333333333333,14.37,5.10666666666667,272.333333333333,2.17,2.45333333333333,39.3333333333333,61.7066666666667,NaN,NaN,2016,11,201611
106,6.47096774193548,2.38064516129032,10.5032258064516,5.39032258064516,272.903225806452,2.13225806451613,-3.19354838709677,36,54.3967741935484,NaN,NaN,2016,12,201612
108,-3.2,-6.80967741935484,1.1258064516129,4.91612903225807,243.870967741935,2.47741935483871,-11.9645161290323,33.0645161290323,53.0451612903226,7.95225806451613,3.99032258064516,2016,01,201601
108,0.193103448275862,-4.07586206896552,5.07586206896552,5.61379310344828,287.586206896552,2.7551724137931,-9.4,30.7241379310345,52.051724137931,9.94586206896552,3.66206896551724,2016,02,201602
108,7.04516129032258,2.35483870967742,12.6129032258065,5.10967741935484,297.096774193548,2.44193548387097,-3.48709677419355,28.2258064516129,51.016129032258,13.96,3.55806451612903,2016,03,201603
108,14.0666666666667,9.05,20.3166666666667,5.44,267.666666666667,2.42,3.63333333333333,30.5333333333333,54.7566666666666,15.3466666666667,4.80333333333333,2016,04,201604
108,19.558064516129,14.141935483871,25.6870967741935,5.14838709677419,253.225806451613,2.36774193548387,9.13548387096774,31.2258064516129,56.2193548387097,19.1787096774194,4.58709677419355,2016,05,201605
108,23.5966666666667,19.4633333333333,28.68,4.89666666666667,255.333333333333,2.13,15.45,41.1,62.8666666666667,16.9356666666667,5.25,2016,06,201606
108,26.2354838709677,23.2870967741935,29.8225806451613,4.39032258064516,195.483870967742,2.14838709677419,20.5935483870968,54.0645161290323,72.8612903225806,13.0003225806452,7.19354838709677,2016,07,201607
