loc,t_avg,t_min,t_max,ws_max,wd_max,ws_avg,dt_avg,rh_min,rh_avg,sol_tot_rad,cld_tot_avg,year,mon,day,USE_YM
100,-1.3,-4.6,1.8,9.5,270,5.1,-5.3,58,74.3,9.8,NaN,2017,01,01,20170101
100,1.1,-2.1,3.4,13,270,6.7,-2.8,69,75.4,8.46,NaN,2017,01,02,20170102
100,-0.6,-6,4.1,9.6,270,5.3,-8.9,27,56,10.32,NaN,2017,01,03,20170103
100,-1.2,-6.6,5.1,9.8,270,3.1,-6.7,37,68.4,9.79,NaN,2017,01,04,20170104
100,-3.2,-8.4,-0.7,4.2,70,1.7,-4.1,90,92.9,1.59,NaN,2017,01,05,20170105
100,-1.1,-6.3,4.8,3.6,250,1.3,-3.3,53,86.5,10.18,NaN,2017,01,06,20170106
100,-1.4,-9.5,6.9,3.4,110,1.3,-4.8,42,79.1,9.05,NaN,2017,01,07,20170107
100,1.1,-1.5,4.4,3.4,110,1.2,0,78,93,4.19,NaN,2017,01,08,20170108
100,-1.1,-4.9,2.4,9.5,270,5.4,-5.4,48,73.5,10.28,NaN,2017,01,09,20170109
100,-6.6,-9.6,-3.4,12,270,7.6,-14.7,36,53.5,10.7,NaN,2017,01,10,20170110
100,-8.5,-12.9,-5.1,10.8,270,6.8,-19.8,27,40.3,11.26,NaN,2017,01,11,20170111
100,-5.9,-9.2,-2.3,14.8,270,10.5,-16.1,26,47.8,10.81,NaN,2017,01,12,20170112
100,-10.4,-12.5,-7.5,12.4,270,8.2,-17,33,59.4,8.59,NaN,2017,01,13,20170113
100,-13.4,-16.1,-9.5,8.4,270,5.6,-22.9,26,46.8,11.56,NaN,2017,01,14,20170114
100,-11.7,-18.6,-3.1,6.8,250,3.2,-21.2,24,48.1,11.73,NaN,2017,01,15,20170115
100,-10.3,-17.7,-1.7,4.5,20,1.4,-14.6,42,71.9,9.79,NaN,2017,01,16,20170116
100,-7.7,-17,0.8,6.2,270,2,-17.9,17,50.6,10.75,NaN,2017,01,17,20170117
100,-4.7,-8.9,0,8.6,270,4.2,-10.1,40,66.4,9.97,NaN,2017,01,18,20170118
100,-4.9,-12.7,2.9,3.9,290,1.1,-12.3,15,62.1,11.31,NaN,2017,01,19,20170119
100,-7.7,-13.4,-4.9,6.5,270,3,-10.2,57,82.3,3.15,NaN,2017,01,20,20170120
100,-9.4,-15.9,-6.8,9.8,270,5.2,-12.3,62,79.6,11.99,NaN,2017,01,21,20170121
100,-11.7,-14.9,-7.1,9.7,270,6.5,-18.1,39,59.9,12.38,NaN,2017,01,22,20170122
