loc,t_avg,t_min,t_max,ws_max,wd_max,ws_avg,dt_avg,rh_min,rh_avg,sol_tot_rad,cld_tot_avg,year,mon,day,USE_YM
100,-14,-19.9,-8.9,7.7,270,4.2,-19.5,46,64.1,12.96,NaN,2017,01,23,20170123
100,-12.3,-17.8,-5,5.5,290,3.1,-19.5,33,57.3,13.05,NaN,2017,01,24,20170124
100,-11.8,-21.1,-2.3,6.3,270,2.5,-19.8,27,56.4,13.67,NaN,2017,01,25,20170125
100,-7.7,-19.5,0.5,11.1,270,5,-15.6,29,55.6,11.3,NaN,2017,01,26,20170126
100,-4.9,-12.6,-0.5,12.8,270,7,-11.7,39,60.6,13.01,NaN,2017,01,27,20170127
100,-5.7,-17.5,5,3.5,340,1.2,-14.8,14,54.8,12.15,NaN,2017,01,28,20170128
100,-1.1,NaN,1.7,3.9,340,1,-7.4,32,66.5,1.93,NaN,2017,01,29,20170129
100,-6.1,-9.5,-1.2,9.3,270,4,-8.7,67,82,6.7,NaN,2017,01,30,20170130
100,-8.7,-16.1,-2.6,6.8,270,4,-15.9,32,60.3,7.49,NaN,2017,01,31,20170131
100,-7.3,-10.3,-3.3,8.1,270,4.8,-14.8,35,55.8,13.43,NaN,2017,02,01,20170201
100,-6.8,-15.8,-0.6,10.3,270,5.1,-16.8,21,48.9,14.61,NaN,2017,02,02,20170202
100,-4,-8.6,1.8,8.1,270,4.3,-9.7,35,66.6,14.88,NaN,2017,02,03,20170203
100,-2,-11.9,4.7,5,270,2,-12.4,19,50.5,10.45,NaN,2017,02,04,20170204
100,-1.6,-4.3,1.3,8.2,270,4,-5.5,44,75,7.91,NaN,2017,02,05,20170205
100,-5.7,-11.2,-1.9,9.9,270,4.3,-11.3,48,65.6,14.02,NaN,2017,02,06,20170206
100,-7.6,-16.4,0.6,3.1,90,1.1,-12.8,26,69.5,8.93,NaN,2017,02,07,20170207
100,-6.2,-13.5,-0.3,5.7,270,2.4,-13.9,25,59.3,7.98,NaN,2017,02,08,20170208
100,-9.1,-12.2,-5.9,8.5,270,5.1,-14.6,45,64.9,10.36,NaN,2017,02,09,20170209
100,-11.7,-14.3,-7.5,9,270,5.7,-17.7,40,61.8,14.9,NaN,2017,02,10,20170210
100,-10.6,-17.1,-5.9,7.8,270,4.2,-17,44,59.9,15.37,NaN,2017,02,11,20170211
100,-6.7,-12.7,-1.6,7.4,270,4.5,-14.2,35,57,15.7,NaN,2017,02,12,20170212
100,-5.4,-12.2,-0.3,8.3,270,4.1,-11.8,31,62.8,15.71,NaN,2017,02,13,20170213
100,-5.1,-14.2,2,5.6,270,2.2,-12.7,30,59.4,15.1,NaN,2017,02,14,20170214
100,-1.8,-9.6,4.4,8.9,270,4,-12.2,27,47.1,14.07,NaN,2017,02,15,20170215
100,3.7,-1.4,7.3,12.8,270,8.5,-6.5,17,50.6,15.78,NaN,2017,02,16,20170216
100,1.5,-5.4,6.7,12.5,270,6.5,-6.1,26,61,14.88,NaN,2017,02,17,20170217
100,-6.1,-10.2,-1.3,9.6,270,5,-14.4,25,54.3,14.31,NaN,2017,02,18,20170218
100,-2.6,-8.1,2.1,11.5,270,6.6,-8,43,67.6,10.03,NaN,2017,02,19,20170219
100,-2.2,-9.2,1.9,8.9,290,5.1,-7.6,37,68.4,16.35,NaN,2017,02,20,20170220
100,-5.1,-13.2,2.7,4.1,110,1.6,-10.7,27,67,17.06,NaN,2017,02,21,20170221
100,-0.5,-3.4,0.8,4,270,1.6,-4.7,45,76,4.19,NaN,2017,02,22,20170222
100,-3.9,-7.6,0.2,8.3,270,4.7,-8.3,55,72,12.69,NaN,2017,02,23,20170223
100,-5.6,-10,-0.5,8.4,270,5,-12.3,33,61.6,17.87,NaN,2017,02,24,20170224
100,-2.5,-6.8,1.8,8.6,270,6.1,-9.8,37,58.5,17.54,NaN,2017,02,25,20170225
100,-3.1,-8.1,2.8,6.5,270,2.2,-7.6,40,72.5,17.45,NaN,2017,02,26,20170226
100,-2.6,-9.8,5.7,4.6,250,1.3,-7,32,75,15.49,NaN,2017,02,27,20170227
100,1.3,-5.3,7.3,6.7,250,3.6,-9,29,47.8,17.26,NaN,2017,02,28,20170228
100,1.2,-1.3,7.3,4.3,90,2.1,-4.4,33,68.5,7.88,NaN,2017,03,01,20170301
100,-1.5,-4.3,1.6,9.9,270,3,-3.3,71,87,4.94,NaN,2017,03,02,20170302
100,-1.6,-9.1,4,8.1,270,4.4,-8.5,39,61,18.53,NaN,2017,03,03,20170303
100,0.1,-4.8,6.3,6.7,270,2.8,-5.7,26,68,17.61,NaN,2017,03,04,20170304
100,1.5,-4.8,7.9,6.8,270,3.4,-5.7,33,63.9,12.42,NaN,2017,03,05,20170305
100,-3.3,-6.8,0.6,8.1,290,5.7,-11.9,27,54.3,17.37,NaN,2017,03,06,20170306
100,-6.1,-8.8,-1.4,8.8,270,6.1,-17.3,23,42.3,19.46,NaN,2017,03,07,20170307
100,-5.6,-10.4,-0.9,10.9,270,6.8,-12.1,36,61.8,17.6,NaN,2017,03,08,20170308
100,-1.8,-7.1,2.8,12.8,270,7.6,-10.3,35,54.1,16.35,NaN,2017,03,09,20170309
100,-0.2,-6.5,6.3,7.1,270,3.8,-12.4,22,41.9,19.33,NaN,2017,03,10,20170310
100,2.4,-7.6,11.6,5.3,290,2.7,-10.8,16,41.6,19.2,NaN,2017,03,11,20170311
100,4.9,0.6,9.4,7.5,270,4.1,-5.8,28,46.6,10.35,NaN,2017,03,12,20170312
100,1.3,-4.1,6.8,6.7,270,2.5,-3.3,43,71.8,18.7,NaN,2017,03,13,20170313
100,-3.6,-7.3,1.9,4.7,90,1.5,-5.6,57,85.8,6.85,NaN,2017,03,14,20170314
100,-3,-10,3.4,4.9,110,1.7,-6.8,46,76.8,18.19,NaN,2017,03,15,20170315
100,-0.9,-8.2,7.8,6.3,270,1.8,-7.1,20,68.6,19.27,NaN,2017,03,16,20170316
100,0.8,-7.6,8.5,4.8,90,1.5,-7,24,60.1,19.95,NaN,2017,03,17,20170317
100,4.2,-1.2,10.9,6.9,270,2.5,-7.6,24,45.1,14.78,NaN,2017,03,18,20170318
100,2.9,-5.1,11.9,4.2,140,1.5,-7,18,53.3,20.36,NaN,2017,03,19,20170319
100,4.1,-5.1,11.5,4.3,270,1.3,-8.5,16,45.4,9.91,NaN,2017,03,20,20170320
100,-0.4,-5.4,3.8,4.8,70,2.1,-3.9,47,77.8,6.7,NaN,2017,03,21,20170321
100,2.3,-6.7,9.8,6.2,250,2.8,-8.4,22,51.6,20.82,NaN,2017,03,22,20170322
100,0.4,-3.6,6.3,5.4,70,1.8,-3.8,40,74.4,9.82,NaN,2017,03,23,20170323
100,-0.2,-5,4.9,4.7,90,1.7,-3.2,51,80.5,14.86,NaN,2017,03,24,20170324
100,-0.2,-3,3.2,3.5,290,1.2,-1.4,85,91.6,7,NaN,2017,03,25,20170325
100,0.4,-1.9,4.6,4.8,290,1.9,-1.1,64,89.8,9.72,NaN,2017,03,26,20170326
100,0.4,-1.2,4.1,6.7,320,3.7,-2.3,59,82.4,10.52,NaN,2017,03,27,20170327
100,1.6,-4.7,7.1,6.5,270,3,-3.9,38,68.6,19.07,NaN,2017,03,28,20170328
100,4,-4.2,10.5,6,270,3,-6.4,25,50,21.62,NaN,2017,03,29,20170329
100,4.5,-3.4,12.2,5.2,90,2.5,-1.6,27,67,19.73,NaN,2017,03,30,20170330
100,1,0,3.1,4.5,110,2,-0.1,81,92.6,2.75,NaN,2017,03,31,20170331
100,0.6,-0.9,4.5,4.1,360,1,-0.4,76,92.9,7.36,NaN,2017,04,01,20170401
100,3.6,-3.4,10.1,7.1,250,2.9,-4.5,23,60.8,22.85,NaN,2017,04,02,20170402
100,7.7,0.6,15.3,7.6,250,4.5,-6.1,20,40.6,23.29,NaN,2017,04,03,20170403
100,9.1,-1.9,17.1,7.3,250,3.6,-4.6,19,42.5,21.99,NaN,2017,04,04,20170404
100,9,4.9,13.4,6.6,230,2.6,1.2,33,61.4,6.5,NaN,2017,04,05,20170405
100,10,5,12.8,10.1,270,5.7,6.5,58,80,9.95,NaN,2017,04,06,20170406
100,8.4,0.6,17.3,5,110,2.2,4.4,49,78.8,22.04,NaN,2017,04,07,20170407
100,11.5,4.1,20.1,6.3,250,2.8,4.4,32,64.6,19.75,NaN,2017,04,08,20170408
100,4.3,-0.4,9.3,5.8,70,2.6,0.9,50,80.5,7.98,NaN,2017,04,09,20170409
100,5.8,-0.6,11.6,5.7,70,2.8,-5.2,19,48,24.34,NaN,2017,04,10,20170410
100,8.5,2.1,16.6,7.2,270,3.1,1.7,28,65.1,16.79,NaN,2017,04,11,20170411
100,6.8,1.2,12.4,9.6,270,5.6,-10,15,33,24.52,NaN,2017,04,12,20170412
100,8.2,-1.1,14.4,12.7,270,6.9,-5.8,15,40.1,24.29,NaN,2017,04,13,20170413
100,9.4,6.9,15.7,12.9,270,7.3,-1,20,54.9,18.9,NaN,2017,04,14,20170414
100,12.7,7.3,19,11.2,270,6.6,3.7,27,59,21.91,NaN,2017,04,15,20170415
100,15.6,8.2,21.9,10.7,270,4.7,3,22,46.8,18.14,NaN,2017,04,16,20170416
100,8.7,6.5,14.8,6.1,50,2.5,4.3,33,76.9,2.68,NaN,2017,04,17,20170417
100,7.8,3.7,14.4,11.4,270,5.2,4.4,55,80.1,13.61,NaN,2017,04,18,20170418
100,8.4,3.3,14.6,10.9,270,6.4,-2,27,50.1,25.99,NaN,2017,04,19,20170419
100,8.3,3.8,13.3,10,270,4.1,-0.1,42,57.1,17.37,NaN,2017,04,20,20170420
100,5.8,-0.7,13.1,6,110,2.4,2.4,35,81.4,21.89,NaN,2017,04,21,20170421
100,6.7,1.1,13.5,5.2,110,1.8,-0.2,28,67.1,20.45,NaN,2017,04,22,20170422
100,10.3,-0.3,18.1,7.8,270,4.3,-2.6,22,45.9,26.51,NaN,2017,04,23,20170423
100,11.9,4.3,19.2,9.5,250,5.6,-4.8,11,33.6,25.03,NaN,2017,04,24,20170424
100,12.6,8.4,17.8,9.6,270,7.6,1.9,29,49.4,22.67,NaN,2017,04,25,20170425
100,7.6,1.4,11.8,5.8,290,2.8,-0.2,37,58.9,22.2,NaN,2017,04,26,20170426
100,7,-3.2,14.3,8.4,270,4,-5.7,21,44.9,23.75,NaN,2017,04,27,20170427
100,9.5,2.6,17.6,11.6,270,6.2,-2.7,22,46.3,21.84,NaN,2017,04,28,20170428
100,12.5,1.7,19.3,12.9,270,6,-2,18,43.3,26.18,NaN,2017,04,29,20170429
100,16.3,10.3,23,10,250,6.1,3.8,25,46.5,23.63,NaN,2017,04,30,20170430
100,10.6,4.5,16,5.4,70,2.7,0.3,30,51.6,27.13,NaN,2017,05,01,20170501
100,12.2,1.5,20.9,4.8,90,1.7,2.2,23,55.5,23.63,NaN,2017,05,02,20170502
100,13.6,3.8,23,5.3,70,1.7,3.7,26,56,25.19,NaN,2017,05,03,20170503
100,14.2,4.6,22.1,5.4,70,1.7,3.9,28,54.1,21.14,NaN,2017,05,04,20170504
100,17.5,10.7,23.4,11.8,270,5.6,7.5,31,53.1,24.41,NaN,2017,05,05,20170505
100,11,6.9,15.6,13.8,250,9.1,-6.8,14,30.3,26.74,NaN,2017,05,06,20170506
100,12.1,6.8,18,12.1,270,9.1,-4.6,21,31.3,27.43,NaN,2017,05,07,20170507
100,14.7,6.3,21.6,10.6,270,5.8,0.3,14,40.3,21.56,NaN,2017,05,08,20170508
100,11.4,8.9,17.1,5.4,110,2.1,7.7,44,80.5,8.89,NaN,2017,05,09,20170509
100,11.3,8.9,13.7,6.5,270,3.2,9.1,71,87,9.45,NaN,2017,05,10,20170510
100,14.5,8.2,20.3,9,270,5.3,9.1,50,71.9,24.3,NaN,2017,05,11,20170511
100,15.6,12.8,19.8,8.8,270,3.7,9.8,53,69.4,8.89,NaN,2017,05,12,20170512
100,12.3,6.9,18.7,12.5,270,5.2,8.2,46,77.4,20.2,NaN,2017,05,13,20170513
100,10.8,7.3,15.3,13,270,9.4,1.8,31,55.6,28.38,NaN,2017,05,14,20170514
100,9.1,6.9,12.2,9.9,270,4.9,4.9,63,75.6,12.06,NaN,2017,05,15,20170515
100,9.5,2.9,16.3,4.2,110,1.5,6.7,53,84.3,15.22,NaN,2017,05,16,20170516
100,11.8,3.1,18.8,4.9,90,1.7,6.8,45,74.3,23.84,NaN,2017,05,17,20170517
100,15.2,4.5,23.2,7.6,250,3.9,6.2,33,59.5,27.23,NaN,2017,05,18,20170518
100,18.8,12.8,25.3,8.8,250,5.6,3.1,23,36.8,28.08,NaN,2017,05,19,20170519
100,18.3,9,26.7,4.8,270,2.4,6.2,24,48.8,25.61,NaN,2017,05,20,20170520
100,16.9,8.9,25.3,6.7,290,3.2,7.8,30,60,27.62,NaN,2017,05,21,20170521
100,12.6,6.7,20.8,6,70,2.6,9.3,34,83.5,25.88,NaN,2017,05,22,20170522
100,14.5,7.6,20.6,6.9,250,3,9.2,43,73.9,15.63,NaN,2017,05,23,20170523
100,14.3,9.6,20.2,4.6,110,2,11.9,60,86.4,22.86,NaN,2017,05,24,20170524
100,12.3,6.7,20.9,11.3,270,4.4,5.5,31,69.1,25.52,NaN,2017,05,25,20170525
100,7.6,2.6,11.6,4.5,90,2.1,5,52,85,11.49,NaN,2017,05,26,20170526
100,11.5,4.2,18,4.4,90,1.8,6.4,51,73.9,24.97,NaN,2017,05,27,20170527
100,15.7,4.5,23.2,10.5,270,5.2,7.7,38,63,22.94,NaN,2017,05,28,20170528
100,20.4,13.5,26.8,7.3,270,3.9,11.8,33,61,26.24,NaN,2017,05,29,20170529
100,19,15,23.9,8.9,270,5.1,8.8,33,53.8,16.75,NaN,2017,05,30,20170530
100,17.2,11.8,23.4,4.3,110,2,8,28,57.5,17.09,NaN,2017,05,31,20170531
100,13.3,9.2,20.5,4.9,50,2.6,10.9,54,86.1,10.05,NaN,2017,06,01,20170601
100,10.9,6.3,15.3,4.9,110,2.4,5.5,43,72.1,28.04,NaN,2017,06,02,20170602
100,11.4,6.5,15.6,5.6,270,2.8,6.7,54,74,20.67,NaN,2017,06,03,20170603
100,12.4,3.9,19,7.4,50,2.1,5.3,34,66.4,24.99,NaN,2017,06,04,20170604
100,11.5,6,16.5,4.9,70,2,8,55,80.6,28.31,NaN,2017,06,05,20170605
100,12.3,5.9,19,4.5,270,1.6,7.9,40,76.6,10.31,NaN,2017,06,06,20170606
100,14.4,11.5,16.5,5.8,270,3.1,13.2,86,92.9,4.38,NaN,2017,06,07,20170607
100,16.2,12.1,21.5,7.3,270,4.9,9.1,42,63.9,29.95,NaN,2017,06,08,20170608
100,17,12.2,21.2,11.9,270,7.1,9.6,47,62.5,20.35,NaN,2017,06,09,20170609
100,13.2,6,20.1,8.9,270,3.3,5,33,61,23.8,NaN,2017,06,10,20170610
100,11.3,2.4,18.6,5.9,110,2.2,6.1,31,74.1,26.75,NaN,2017,06,11,20170611
100,10.3,5,15.1,4.8,70,2,7.7,59,84.5,20.16,NaN,2017,06,12,20170612
100,12.8,5.3,19.7,5.2,250,2,8.3,45,76.1,17.65,NaN,2017,06,13,20170613
100,15.9,7,22.9,6.8,270,3.6,9.7,34,70,27.93,NaN,2017,06,14,20170614
100,16.9,12.3,26.1,5.5,90,3.4,11.2,37,72,27.2,NaN,2017,06,15,20170615
100,14.3,8.6,19.1,5.3,70,2.3,11.6,54,84.3,23.85,NaN,2017,06,16,20170616
100,17.8,11,25.3,4.9,140,2.1,12.8,42,75.1,26.82,NaN,2017,06,17,20170617
100,19.5,10.8,27.8,4.4,90,1.4,13.2,34,70.6,23.47,NaN,2017,06,18,20170618
100,20,12.3,29,5.8,110,1.6,12.4,26,66.9,23.23,NaN,2017,06,19,20170619
100,18.2,10.9,24.3,5,110,1.7,12,40,69.5,22.78,NaN,2017,06,20,20170620
100,19.3,15,23.9,5.7,270,2.6,12.9,48,68,14.17,NaN,2017,06,21,20170621
100,18.3,11.9,25.6,4.8,270,2.4,11.4,30,67.3,22.74,NaN,2017,06,22,20170622
100,17.9,11.2,24.9,5.1,90,2,13.6,55,77.3,24.14,NaN,2017,06,23,20170623
100,17.4,12.9,24.7,5.3,110,1.4,14.4,54,84.9,10.45,NaN,2017,06,24,20170624
100,16.4,13.9,20.8,4.2,70,1.6,14,56,86.6,9.93,NaN,2017,06,25,20170625
100,16.2,14.5,19.5,3.9,90,1.7,14.5,77,90.5,9.18,NaN,2017,06,26,20170626
100,18.2,12.7,23.8,4.5,90,1.7,15.4,60,84.8,17.39,NaN,2017,06,27,20170627
100,19.5,15.6,24.4,4.7,90,2.2,17,59,86.5,20.45,NaN,2017,06,28,20170628
100,20.3,15.8,25.5,3.8,90,1.7,16.9,53,82.5,14.14,NaN,2017,06,29,20170629
100,21,13.6,27.1,6.6,270,3.1,15,44,71,23.79,NaN,2017,06,30,20170630
100,20.3,17.7,23.6,8.7,270,5.1,15.8,61,76.6,13.16,NaN,2017,07,01,20170701
100,20.1,18.9,22.3,7.4,270,3.3,19.2,88,95.3,4.96,NaN,2017,07,02,20170702
100,20.9,18.3,23.6,8.7,270,4.9,19,72,89.6,7.67,NaN,2017,07,03,20170703
100,19.2,17.7,23.3,4.4,70,1.9,18.3,75,94.9,13.59,NaN,2017,07,04,20170704
100,19.9,16.4,24.4,4.5,110,1.8,16.4,50,82.4,19.29,NaN,2017,07,05,20170705
100,20.8,14.9,26.9,4.3,90,1.6,16.9,54,80.3,26.46,NaN,2017,07,06,20170706
100,21.7,16.5,26.5,5,270,2.3,19,64,85.5,14.18,NaN,2017,07,07,20170707
100,22,19.9,24.9,7.4,270,3.9,20.1,76,90,8.66,NaN,2017,07,08,20170708
100,23.6,20.7,27.8,6.1,270,3.3,20.2,56,82.9,22.24,NaN,2017,07,09,20170709
100,22.5,20.9,23.9,7.3,270,3.7,20.2,77,87.8,4.39,NaN,2017,07,10,20170710
100,22.1,18.8,25.5,8.8,270,4.1,18,58,79.5,26.9,NaN,2017,07,11,20170711
100,23,18.5,27.5,6.8,250,3.9,18.1,52,76,27.07,NaN,2017,07,12,20170712
100,23.1,18.2,28.7,6.6,270,3.4,18.4,46,77.1,27.7,NaN,2017,07,13,20170713
100,23.2,18,29.3,5.9,270,3.7,19,54,78.5,23.56,NaN,2017,07,14,20170714
100,21.1,20.3,23.3,6.8,270,4.1,19.4,79,90.3,6.98,NaN,2017,07,15,20170715
100,21.1,19.1,23.2,7.5,270,4.1,19.1,80,89.1,10.54,NaN,2017,07,16,20170716
100,22.7,20.8,25.4,8.3,270,5,19.4,69,81.8,17.16,NaN,2017,07,17,20170717
100,22.3,18.5,26.7,6.3,250,3.7,18.7,64,81.4,23.15,NaN,2017,07,18,20170718
100,24.3,18.1,31.1,4.1,290,2.1,20.5,58,81.3,25.46,NaN,2017,07,19,20170719
100,24.3,19.7,28.8,6.3,270,3.5,19.7,55,77.3,26.96,NaN,2017,07,20,20170720
100,24.4,23.1,26.1,8,270,4.8,21.2,71,82.8,7.69,NaN,2017,07,21,20170721
100,21.2,18.4,24.6,4.7,90,2.6,20.1,83,94,9.96,NaN,2017,07,22,20170722
100,22.1,19.9,24,6.3,270,3.9,21.2,89,94.8,2.83,NaN,2017,07,23,20170723
100,23,21.6,25.2,5.4,270,2.9,21.2,79,90.3,8.89,NaN,2017,07,24,20170724
100,19.9,17.9,23.1,4.8,90,2.3,19.1,77,95.6,12.5,NaN,2017,07,25,20170725
100,19.3,16,23.3,4.5,90,2.4,16.4,66,84.3,26.2,NaN,2017,07,26,20170726
100,20,15.1,24.2,3.3,290,1.4,17.3,48,86.3,13.18,NaN,2017,07,27,20170727
100,20.1,18.9,22.5,4.3,270,1.8,19.4,84,96.4,5.12,NaN,2017,07,28,20170728
100,18.9,18.2,19.9,3.6,110,1.9,18.6,92,98.3,4.19,NaN,2017,07,29,20170729
100,21.2,17.6,26,5.9,270,2.4,18.3,53,85.5,20.12,NaN,2017,07,30,20170730
100,19.5,17.4,22.3,3.8,90,1.5,19.2,91,98.1,5.06,NaN,2017,07,31,20170731
100,20.7,18,25,4.7,110,1.8,19.4,69,92.9,18.51,NaN,2017,08,01,20170801
100,19.9,15.4,25.7,4.6,110,2,18.2,58,90.1,21.61,NaN,2017,08,02,20170802
100,19.8,13.3,25.1,4.5,90,1.9,17.4,68,86.6,23.11,NaN,2017,08,03,20170803
100,22.2,17.7,28.6,4.4,110,1.7,20,59,88.5,18.33,NaN,2017,08,04,20170804
100,23.1,18.7,29.3,5,110,1.7,20.8,57,87.6,20.64,NaN,2017,08,05,20170805
100,22.9,18,29,3.7,110,1.6,20.7,63,89,17.24,NaN,2017,08,06,20170806
100,22.9,20.1,28.7,4.2,110,2.1,20.8,54,89.1,23.14,NaN,2017,08,07,20170807
100,21.5,17.7,27.9,4.8,270,2.5,18.7,53,85.3,19.6,NaN,2017,08,08,20170808
100,19.9,18.9,22.7,3.6,90,1.6,19.1,73,96,4.8,NaN,2017,08,09,20170809
100,19.5,18.5,20.7,4.8,70,2.6,18.8,93,96.6,6.16,NaN,2017,08,10,20170810
100,18.5,17.6,21.5,4,90,1.9,17.8,82,96,7.02,NaN,2017,08,11,20170811
100,17.5,14.4,20.7,3.4,110,1.5,16.3,79,92.9,8.46,NaN,2017,08,12,20170812
100,17.4,14.1,19.3,4.2,90,2.1,16.8,86,96.9,5.8,NaN,2017,08,13,20170813
100,17.9,17,18.6,5.5,90,3.4,17.7,97,98.9,5.86,NaN,2017,08,14,20170814
100,18.1,17.1,19.4,5.4,90,3.1,17.7,96,98.4,3.27,NaN,2017,08,15,20170815
100,17.6,16.7,18.9,4.4,70,2.4,17.4,94,98.8,9.64,NaN,2017,08,16,20170816
100,18.2,16.9,19.7,2.7,110,1.5,17.9,96,98.9,5.61,NaN,2017,08,17,20170817
100,19,17.3,23.6,4.1,110,1.4,18.4,73,96.8,12.54,NaN,2017,08,18,20170818
100,18.7,17.3,21,3.4,90,1.7,18.3,90,98.3,10.38,NaN,2017,08,19,20170819
100,18.8,17.4,20,3.1,110,1.8,18.4,93,98.4,4.88,NaN,2017,08,20,20170820
100,20.7,19,23.1,6.6,270,2.8,19.7,76,94.5,7.39,NaN,2017,08,21,20170821
100,22.1,19.8,25.7,7.6,270,4.9,19,65,83.3,20,NaN,2017,08,22,20170822
100,22.4,20.5,24.6,8.3,270,4.5,21.1,83,92.4,7.75,NaN,2017,08,23,20170823
100,22.4,19.2,24.5,10.4,270,6.5,20.4,77,89,3.79,NaN,2017,08,24,20170824
100,20,16.5,25.1,6.4,270,3.4,13,32,67.8,23.27,NaN,2017,08,25,20170825
100,16.8,10.8,24.3,6.4,270,2.8,8.8,26,64.9,25.28,NaN,2017,08,26,20170826
100,16.4,8.7,23.1,3.4,140,1.3,12.6,48,80.6,14.93,NaN,2017,08,27,20170827
100,17.3,14.3,20.5,6.6,250,3,14,56,82.4,9.59,NaN,2017,08,28,20170828
100,15.7,11.6,18.8,4.7,110,2.1,13.4,67,87.5,20.98,NaN,2017,08,29,20170829
100,14.4,11.6,19.1,6.6,270,2.4,11.4,53,84,10.26,NaN,2017,08,30,20170830
100,13.7,7.6,18.8,5.6,90,2.1,11.5,59,87.5,15.32,NaN,2017,08,31,20170831
100,14.1,9.1,19.6,4.2,90,1.8,11.1,59,84.1,23.94,NaN,2017,09,01,20170901
100,12.9,6.4,19.3,4,90,1.6,9.8,51,83.6,22.77,NaN,2017,09,02,20170902
100,14.1,4.3,23.5,4.1,90,1.2,8.2,28,73,22.93,NaN,2017,09,03,20170903
100,15.5,7.9,22.9,3.7,90,1.3,12.3,51,83,19.12,NaN,2017,09,04,20170904
100,13.5,9.3,18.1,3.6,340,1,11.9,67,90.6,5.65,NaN,2017,09,05,20170905
100,14.8,11.7,18.8,3.5,270,1.4,13.3,60,91.3,6.41,NaN,2017,09,06,20170906
100,16.7,12.3,22.8,4.5,270,2,13.8,55,85,16.48,NaN,2017,09,07,20170907
100,16.9,10.6,25.9,4,270,1.9,13.3,41,83.4,21.52,NaN,2017,09,08,20170908
100,17.2,10.2,25.8,5.2,270,1.7,13.2,33,81.6,18.4,NaN,2017,09,09,20170909
100,17.2,12.6,21.5,3.4,110,1.4,15.8,73,92.1,9.25,NaN,2017,09,10,20170910
100,14.7,12.9,17.1,3.8,20,1.7,14,86,96,3.83,NaN,2017,09,11,20170911
100,16.3,11.8,22.3,6.5,250,2.7,12.9,51,82.6,19.53,NaN,2017,09,12,20170912
100,13,6.5,19.4,4.1,110,1.7,9.9,48,83.9,22.27,NaN,2017,09,13,20170913
100,13.3,6,20,5.1,110,1.7,10.7,58,86,20.1,NaN,2017,09,14,20170914
100,14.2,10.1,17.9,5.2,90,3,10.9,64,81.8,13.98,NaN,2017,09,15,20170915
100,13.9,11.4,15.9,5.5,90,3.5,12.5,83,91.8,6.04,NaN,2017,09,16,20170916
100,14.1,12.3,15.4,4.3,70,2.8,13.5,85,96.6,4.6,NaN,2017,09,17,20170917
100,14.6,8.4,20.7,7.1,270,3.1,11,54,81.3,16.58,NaN,2017,09,18,20170918
100,16.6,11.6,20.8,9.4,270,4.2,13.1,53,81.4,16.12,NaN,2017,09,19,20170919
