t,DayNumber,DayName,locdate,dateName,isHoliday,Day_index
2022-01-01,7,토,2022-01-01,1월1일,Y,3
2022-01-02,1,일,NaT,,,3
2022-01-03,2,월,NaT,,,1
2022-01-04,3,화,NaT,,,1
2022-01-05,4,수,NaT,,,1
2022-01-06,5,목,NaT,,,1
2022-01-07,6,금,NaT,,,1
2022-01-08,7,토,NaT,,,2
2022-01-09,1,일,NaT,,,3
2022-01-10,2,월,NaT,,,1
2022-01-11,3,화,NaT,,,1
2022-01-12,4,수,NaT,,,1
2022-01-13,5,목,NaT,,,1
2022-01-14,6,금,NaT,,,1
2022-01-15,7,토,NaT,,,2
2022-01-16,1,일,NaT,,,3
2022-01-17,2,월,NaT,,,1
2022-01-18,3,화,NaT,,,1
2022-01-19,4,수,NaT,,,1
2022-01-20,5,목,NaT,,,1
2022-01-21,6,금,NaT,,,1
2022-01-22,7,토,NaT,,,2
2022-01-23,1,일,NaT,,,3
2022-01-24,2,월,NaT,,,1
2022-01-25,3,화,NaT,,,1
2022-01-26,4,수,NaT,,,1
2022-01-27,5,목,NaT,,,1
2022-01-28,6,금,NaT,,,1
2022-01-29,7,토,NaT,,,2
2022-01-30,1,일,NaT,,,3
2022-01-31,2,월,2022-01-31,설날,Y,3
2022-02-01,3,화,2022-02-01,설날,Y,3
2022-02-02,4,수,2022-02-02,설날,Y,3
2022-02-03,5,목,NaT,,,1
2022-02-04,6,금,NaT,,,1
2022-02-05,7,토,NaT,,,2
2022-02-06,1,일,NaT,,,3
2022-02-07,2,월,NaT,,,1
2022-02-08,3,화,NaT,,,1
2022-02-09,4,수,NaT,,,1
2022-02-10,5,목,NaT,,,1
2022-02-11,6,금,NaT,,,1
2022-02-12,7,토,NaT,,,2
2022-02-13,1,일,NaT,,,3
2022-02-14,2,월,NaT,,,1
2022-02-15,3,화,NaT,,,1
2022-02-16,4,수,NaT,,,1
2022-02-17,5,목,NaT,,,1
2022-02-18,6,금,NaT,,,1
2022-02-19,7,토,NaT,,,2
2022-02-20,1,일,NaT,,,3
2022-02-21,2,월,NaT,,,1
2022-02-22,3,화,NaT,,,1
2022-02-23,4,수,NaT,,,1
2022-02-24,5,목,NaT,,,1
2022-02-25,6,금,NaT,,,1
2022-02-26,7,토,NaT,,,2
2022-02-27,1,일,NaT,,,3
2022-02-28,2,월,NaT,,,1
2022-03-01,3,화,2022-03-01,삼일절,Y,3
2022-03-02,4,수,NaT,,,1
2022-03-03,5,목,NaT,,,1
2022-03-04,6,금,NaT,,,1
2022-03-05,7,토,NaT,,,2
2022-03-06,1,일,NaT,,,3
2022-03-07,2,월,NaT,,,1
2022-03-08,3,화,NaT,,,1
2022-03-09,4,수,2022-03-09,대통령선거일,Y,3
2022-03-10,5,목,NaT,,,1
2022-03-11,6,금,NaT,,,1
2022-03-12,7,토,NaT,,,2
2022-03-13,1,일,NaT,,,3
2022-03-14,2,월,NaT,,,1
2022-03-15,3,화,NaT,,,1
2022-03-16,4,수,NaT,,,1
2022-03-17,5,목,NaT,,,1
2022-03-18,6,금,NaT,,,1
2022-03-19,7,토,NaT,,,2
2022-03-20,1,일,NaT,,,3
2022-03-21,2,월,NaT,,,1
2022-03-22,3,화,NaT,,,1
2022-03-23,4,수,NaT,,,1
2022-03-24,5,목,NaT,,,1
2022-03-25,6,금,NaT,,,1
2022-03-26,7,토,NaT,,,2
2022-03-27,1,일,NaT,,,3
2022-03-28,2,월,NaT,,,1
2022-03-29,3,화,NaT,,,1
2022-03-30,4,수,NaT,,,1
2022-03-31,5,목,NaT,,,1
2022-04-01,6,금,NaT,,,1
2022-04-02,7,토,NaT,,,2
2022-04-03,1,일,NaT,,,3
2022-04-04,2,월,NaT,,,1
2022-04-05,3,화,NaT,,,1
2022-04-06,4,수,NaT,,,1
2022-04-07,5,목,NaT,,,1
2022-04-08,6,금,NaT,,,1
2022-04-09,7,토,NaT,,,2
2022-04-10,1,일,NaT,,,3
2022-04-11,2,월,NaT,,,1
2022-04-12,3,화,NaT,,,1
2022-04-13,4,수,NaT,,,1
2022-04-14,5,목,NaT,,,1
2022-04-15,6,금,NaT,,,1
2022-04-16,7,토,NaT,,,2
2022-04-17,1,일,NaT,,,3
2022-04-18,2,월,NaT,,,1
2022-04-19,3,화,NaT,,,1
2022-04-20,4,수,NaT,,,1
2022-04-21,5,목,NaT,,,1
2022-04-22,6,금,NaT,,,1
2022-04-23,7,토,NaT,,,2
2022-04-24,1,일,NaT,,,3
2022-04-25,2,월,NaT,,,1
2022-04-26,3,화,NaT,,,1
2022-04-27,4,수,NaT,,,1
2022-04-28,5,목,NaT,,,1
2022-04-29,6,금,NaT,,,1
2022-04-30,7,토,NaT,,,2
2022-05-01,1,일,NaT,근로자의날,,4
2022-05-02,2,월,NaT,,,1
2022-05-03,3,화,NaT,,,1
2022-05-04,4,수,NaT,,,1
2022-05-05,5,목,2022-05-05,어린이날,Y,3
2022-05-06,6,금,NaT,,,1
2022-05-07,7,토,NaT,,,2
2022-05-08,1,일,2022-05-08,부처님오신날,Y,3
2022-05-09,2,월,NaT,,,1
2022-05-10,3,화,NaT,,,1
2022-05-11,4,수,NaT,,,1
2022-05-12,5,목,NaT,,,1
2022-05-13,6,금,NaT,,,1
2022-05-14,7,토,NaT,,,2
2022-05-15,1,일,NaT,,,3
2022-05-16,2,월,NaT,,,1
2022-05-17,3,화,NaT,,,1
2022-05-18,4,수,NaT,,,1
2022-05-19,5,목,NaT,,,1
2022-05-20,6,금,NaT,,,1
2022-05-21,7,토,NaT,,,2
2022-05-22,1,일,NaT,,,3
