t,DayNumber,DayName,locdate,dateName,isHoliday,Day_index
2016-01-01,6,금,2016-01-01,신정,Y,3
2016-01-02,7,토,NaT,,,2
2016-01-03,1,일,NaT,,,3
2016-01-04,2,월,NaT,,,1
2016-01-05,3,화,NaT,,,1
2016-01-06,4,수,NaT,,,1
2016-01-07,5,목,NaT,,,1
2016-01-08,6,금,NaT,,,1
2016-01-09,7,토,NaT,,,2
2016-01-10,1,일,NaT,,,3
2016-01-11,2,월,NaT,,,1
2016-01-12,3,화,NaT,,,1
2016-01-13,4,수,NaT,,,1
2016-01-14,5,목,NaT,,,1
2016-01-15,6,금,NaT,,,1
2016-01-16,7,토,NaT,,,2
2016-01-17,1,일,NaT,,,3
2016-01-18,2,월,NaT,,,1
2016-01-19,3,화,NaT,,,1
2016-01-20,4,수,NaT,,,1
2016-01-21,5,목,NaT,,,1
2016-01-22,6,금,NaT,,,1
2016-01-23,7,토,NaT,,,2
2016-01-24,1,일,NaT,,,3
2016-01-25,2,월,NaT,,,1
2016-01-26,3,화,NaT,,,1
2016-01-27,4,수,NaT,,,1
2016-01-28,5,목,NaT,,,1
2016-01-29,6,금,NaT,,,1
2016-01-30,7,토,NaT,,,2
2016-01-31,1,일,NaT,,,3
2016-02-01,2,월,NaT,,,1
2016-02-02,3,화,NaT,,,1
2016-02-03,4,수,NaT,,,1
2016-02-04,5,목,NaT,,,1
2016-02-05,6,금,NaT,,,1
2016-02-06,7,토,NaT,,,2
2016-02-07,1,일,2016-02-07,설날,Y,3
2016-02-08,2,월,2016-02-08,설날,Y,3
2016-02-09,3,화,2016-02-09,설날,Y,3
2016-02-10,4,수,2016-02-10,대체공휴일,Y,3
2016-02-11,5,목,NaT,,,1
2016-02-12,6,금,NaT,,,1
2016-02-13,7,토,NaT,,,2
2016-02-14,1,일,NaT,,,3
2016-02-15,2,월,NaT,,,1
2016-02-16,3,화,NaT,,,1
2016-02-17,4,수,NaT,,,1
2016-02-18,5,목,NaT,,,1
2016-02-19,6,금,NaT,,,1
2016-02-20,7,토,NaT,,,2
2016-02-21,1,일,NaT,,,3
2016-02-22,2,월,NaT,,,1
2016-02-23,3,화,NaT,,,1
2016-02-24,4,수,NaT,,,1
2016-02-25,5,목,NaT,,,1
2016-02-26,6,금,NaT,,,1
2016-02-27,7,토,NaT,,,2
2016-02-28,1,일,NaT,,,3
2016-02-29,2,월,NaT,,,1
2016-03-01,3,화,2016-03-01,삼일절,Y,3
2016-03-02,4,수,NaT,,,1
2016-03-03,5,목,NaT,,,1
2016-03-04,6,금,NaT,,,1
2016-03-05,7,토,NaT,,,2
2016-03-06,1,일,NaT,,,3
2016-03-07,2,월,NaT,,,1
2016-03-08,3,화,NaT,,,1
2016-03-09,4,수,NaT,,,1
2016-03-10,5,목,NaT,,,1
2016-03-11,6,금,NaT,,,1
2016-03-12,7,토,NaT,,,2
2016-03-13,1,일,NaT,,,3
2016-03-14,2,월,NaT,,,1
2016-03-15,3,화,NaT,,,1
2016-03-16,4,수,NaT,,,1
2016-03-17,5,목,NaT,,,1
2016-03-18,6,금,NaT,,,1
2016-03-19,7,토,NaT,,,2
2016-03-20,1,일,NaT,,,3
2016-03-21,2,월,NaT,,,1
2016-03-22,3,화,NaT,,,1
2016-03-23,4,수,NaT,,,1
2016-03-24,5,목,NaT,,,1
2016-03-25,6,금,NaT,,,1
2016-03-26,7,토,NaT,,,2
2016-03-27,1,일,NaT,,,3
2016-03-28,2,월,NaT,,,1
2016-03-29,3,화,NaT,,,1
2016-03-30,4,수,NaT,,,1
2016-03-31,5,목,NaT,,,1
2016-04-01,6,금,NaT,,,1
2016-04-02,7,토,NaT,,,2
2016-04-03,1,일,NaT,,,3
2016-04-04,2,월,NaT,,,1
2016-04-05,3,화,NaT,,,1
2016-04-06,4,수,NaT,,,1
2016-04-07,5,목,NaT,,,1
2016-04-08,6,금,NaT,,,1
2016-04-09,7,토,NaT,,,2
2016-04-10,1,일,NaT,,,3
2016-04-11,2,월,NaT,,,1
2016-04-12,3,화,NaT,,,1
2016-04-13,4,수,2016-04-13,국회의원선거일,Y,3
2016-04-14,5,목,NaT,,,1
2016-04-15,6,금,NaT,,,1
2016-04-16,7,토,NaT,,,2
2016-04-17,1,일,NaT,,,3
2016-04-18,2,월,NaT,,,1
2016-04-19,3,화,NaT,,,1
2016-04-20,4,수,NaT,,,1
2016-04-21,5,목,NaT,,,1
2016-04-22,6,금,NaT,,,1
2016-04-23,7,토,NaT,,,2
2016-04-24,1,일,NaT,,,3
2016-04-25,2,월,NaT,,,1
2016-04-26,3,화,NaT,,,1
2016-04-27,4,수,NaT,,,1
2016-04-28,5,목,NaT,,,1
2016-04-29,6,금,NaT,,,1
2016-04-30,7,토,NaT,,,2
2016-05-01,1,일,NaT,근로자의날,,4
2016-05-02,2,월,NaT,,,1
2016-05-03,3,화,NaT,,,1
2016-05-04,4,수,NaT,,,1
2016-05-05,5,목,2016-05-05,어린이날,Y,3
2016-05-06,6,금,NaT,,,1
2016-05-07,7,토,NaT,,,2
2016-05-08,1,일,NaT,,,3
2016-05-09,2,월,NaT,,,1
2016-05-10,3,화,NaT,,,1
2016-05-11,4,수,NaT,,,1
2016-05-12,5,목,NaT,,,1
2016-05-13,6,금,NaT,,,1
2016-05-14,7,토,2016-05-14,석가탄신일,Y,3
2016-05-15,1,일,NaT,,,3
2016-05-16,2,월,NaT,,,1
2016-05-17,3,화,NaT,,,1
2016-05-18,4,수,NaT,,,1
2016-05-19,5,목,NaT,,,1
2016-05-20,6,금,NaT,,,1
2016-05-21,7,토,NaT,,,2
2016-05-22,1,일,NaT,,,3
2016-05-23,2,월,NaT,,,1
2016-05-24,3,화,NaT,,,1
2016-05-25,4,수,NaT,,,1
2016-05-26,5,목,NaT,,,1
2016-05-27,6,금,NaT,,,1
2016-05-28,7,토,NaT,,,2
2016-05-29,1,일,NaT,,,3
2016-05-30,2,월,NaT,,,1
2016-05-31,3,화,NaT,,,1
2016-06-01,4,수,NaT,,,1
2016-06-02,5,목,NaT,,,1
2016-06-03,6,금,NaT,,,1
2016-06-04,7,토,NaT,,,2
2016-06-05,1,일,NaT,,,3
2016-06-06,2,월,2016-06-06,현충일,Y,3
2016-06-07,3,화,NaT,,,1
2016-06-08,4,수,NaT,,,1
2016-06-09,5,목,NaT,,,1
2016-06-10,6,금,NaT,,,1
2016-06-11,7,토,NaT,,,2
2016-06-12,1,일,NaT,,,3
2016-06-13,2,월,NaT,,,1
2016-06-14,3,화,NaT,,,1
2016-06-15,4,수,NaT,,,1
2016-06-16,5,목,NaT,,,1
2016-06-17,6,금,NaT,,,1
2016-06-18,7,토,NaT,,,2
2016-06-19,1,일,NaT,,,3
2016-06-20,2,월,NaT,,,1
2016-06-21,3,화,NaT,,,1
2016-06-22,4,수,NaT,,,1
2016-06-23,5,목,NaT,,,1
2016-06-24,6,금,NaT,,,1
2016-06-25,7,토,NaT,,,2
2016-06-26,1,일,NaT,,,3
2016-06-27,2,월,NaT,,,1
2016-06-28,3,화,NaT,,,1
2016-06-29,4,수,NaT,,,1
2016-06-30,5,목,NaT,,,1
2016-07-01,6,금,NaT,,,1
2016-07-02,7,토,NaT,,,2
2016-07-03,1,일,NaT,,,3
2016-07-04,2,월,NaT,,,1
2016-07-05,3,화,NaT,,,1
2016-07-06,4,수,NaT,,,1
2016-07-07,5,목,NaT,,,1
2016-07-08,6,금,NaT,,,1
2016-07-09,7,토,NaT,,,2
2016-07-10,1,일,NaT,,,3
2016-07-11,2,월,NaT,,,1
2016-07-12,3,화,NaT,,,1
2016-07-13,4,수,NaT,,,1
2016-07-14,5,목,NaT,,,1
2016-07-15,6,금,NaT,,,1
