t,DayNumber,DayName,locdate,dateName,isHoliday,Day_index
2019-01-01,3,화,2019-01-01,1월1일,Y,3
2019-01-02,4,수,NaT,,,1
2019-01-03,5,목,NaT,,,1
2019-01-04,6,금,NaT,,,1
2019-01-05,7,토,NaT,,,2
2019-01-06,1,일,NaT,,,3
2019-01-07,2,월,NaT,,,1
2019-01-08,3,화,NaT,,,1
2019-01-09,4,수,NaT,,,1
2019-01-10,5,목,NaT,,,1
2019-01-11,6,금,NaT,,,1
2019-01-12,7,토,NaT,,,2
2019-01-13,1,일,NaT,,,3
2019-01-14,2,월,NaT,,,1
2019-01-15,3,화,NaT,,,1
2019-01-16,4,수,NaT,,,1
2019-01-17,5,목,NaT,,,1
2019-01-18,6,금,NaT,,,1
2019-01-19,7,토,NaT,,,2
2019-01-20,1,일,NaT,,,3
2019-01-21,2,월,NaT,,,1
2019-01-22,3,화,NaT,,,1
2019-01-23,4,수,NaT,,,1
2019-01-24,5,목,NaT,,,1
2019-01-25,6,금,NaT,,,1
2019-01-26,7,토,NaT,,,2
2019-01-27,1,일,NaT,,,3
2019-01-28,2,월,NaT,,,1
2019-01-29,3,화,NaT,,,1
2019-01-30,4,수,NaT,,,1
2019-01-31,5,목,NaT,,,1
2019-02-01,6,금,NaT,,,1
2019-02-02,7,토,NaT,,,2
2019-02-03,1,일,NaT,,,3
2019-02-04,2,월,2019-02-04,설날,Y,3
2019-02-05,3,화,2019-02-05,설날,Y,3
2019-02-06,4,수,2019-02-06,설날,Y,3
2019-02-07,5,목,NaT,,,1
2019-02-08,6,금,NaT,,,1
2019-02-09,7,토,NaT,,,2
2019-02-10,1,일,NaT,,,3
2019-02-11,2,월,NaT,,,1
2019-02-12,3,화,NaT,,,1
2019-02-13,4,수,NaT,,,1
2019-02-14,5,목,NaT,,,1
2019-02-15,6,금,NaT,,,1
2019-02-16,7,토,NaT,,,2
2019-02-17,1,일,NaT,,,3
2019-02-18,2,월,NaT,,,1
2019-02-19,3,화,NaT,,,1
2019-02-20,4,수,NaT,,,1
2019-02-21,5,목,NaT,,,1
2019-02-22,6,금,NaT,,,1
2019-02-23,7,토,NaT,,,2
2019-02-24,1,일,NaT,,,3
2019-02-25,2,월,NaT,,,1
2019-02-26,3,화,NaT,,,1
2019-02-27,4,수,NaT,,,1
2019-02-28,5,목,NaT,,,1
2019-03-01,6,금,2019-03-01,삼일절,Y,3
2019-03-02,7,토,NaT,,,2
2019-03-03,1,일,NaT,,,3
2019-03-04,2,월,NaT,,,1
2019-03-05,3,화,NaT,,,1
2019-03-06,4,수,NaT,,,1
2019-03-07,5,목,NaT,,,1
2019-03-08,6,금,NaT,,,1
2019-03-09,7,토,NaT,,,2
2019-03-10,1,일,NaT,,,3
2019-03-11,2,월,NaT,,,1
2019-03-12,3,화,NaT,,,1
2019-03-13,4,수,NaT,,,1
2019-03-14,5,목,NaT,,,1
2019-03-15,6,금,NaT,,,1
2019-03-16,7,토,NaT,,,2
2019-03-17,1,일,NaT,,,3
2019-03-18,2,월,NaT,,,1
2019-03-19,3,화,NaT,,,1
2019-03-20,4,수,NaT,,,1
2019-03-21,5,목,NaT,,,1
2019-03-22,6,금,NaT,,,1
2019-03-23,7,토,NaT,,,2
2019-03-24,1,일,NaT,,,3
