loc,t_avg,t_min,t_max,ws_max,wd_max,ws_avg,dt_avg,rh_min,rh_avg,sol_tot_rad,cld_tot_avg,year,mon,USE_YM
100,-5.21612903225807,-11.1838709677419,0.17741935483871,7.22903225806451,236.774193548387,3.47096774193548,-10.5516129032258,45.8387096774194,68.741935483871,8.80516129032258,4.53928571428571,2015,01,201501
100,-3.55714285714286,-9.025,1.42857142857143,7.60357142857143,236.071428571429,4.02857142857143,-9.075,44.2857142857143,68.325,11.5028571428571,4.59,2015,02,201502
100,2.02258064516129,-4.38387096774194,8.33548387096774,8.33225806451613,242.258064516129,4.21612903225807,-8.50322580645161,24.3225806451613,51.2258064516129,17.6532258064516,2.87727272727273,2015,03,201503
100,7.6,1.96333333333333,13.4966666666667,7.81666666666666,184.333333333333,3.68666666666667,-0.00333333333333338,44.6333333333333,66.7066666666666,15.4233333333333,5.66363636363636,2015,04,201504
100,14.6516129032258,6.82903225806452,21.6258064516129,7.70645161290322,230.967741935484,3.98387096774194,4.58709677419355,29.1612903225806,56.4709677419355,22.5516129032258,4.2578947368421,2015,05,201505
100,16.11,10.53,21.9466666666667,5.54666666666667,163,2.48,11.0566666666667,49.7,76.16,18.4366666666667,6.44545454545454,2015,06,201506
100,19.0322580645161,15.6483870967742,23.0354838709677,6.20322580645161,184.516129032258,3.19032258064516,16.0451612903226,65.7096774193548,84.3258064516129,15.0609677419355,6.675,2015,07,201507
100,19.9838709677419,16.0645161290323,25.141935483871,5.81935483870968,174.193548387097,2.78387096774194,16.9129032258065,59.741935483871,84.058064516129,16.4683870967742,NaN,2015,08,201508
100,14.04,8.97666666666666,19.8566666666667,4.87666666666667,126.666666666667,1.95,11.1233333333333,55.7666666666667,84.37,14.667,NaN,2015,09,201509
100,9.23225806451613,3.20322580645161,15.6709677419355,7.28709677419355,213.870967741935,3.56129032258065,3.58064516129032,41.6774193548387,71.5290322580645,13.4338709677419,NaN,2015,10,201510
100,4.17333333333333,0.686666666666667,7.86,5.62666666666667,171.666666666667,2.81,1.24666666666667,67.7333333333333,84.46,5.92533333333334,NaN,2015,11,201511
100,-2.25161290322581,-6.64516129032258,2.46129032258064,7.47741935483871,240.645161290323,3.82903225806451,-6.88709677419355,49.6774193548387,72.8774193548387,7.18032258064516,NaN,2015,12,201512
101,-2.69677419354839,-7.7741935483871,2.6741935483871,3.0258064516129,267.741935483871,1.03870967741935,-7.63548387096774,43.4193548387097,71.7096774193548,7.70483870967742,3.88064516129032,2015,01,201501
101,-0.3,-5.32857142857143,5.49642857142857,3.54285714285714,240,1.26428571428571,-6.38928571428571,38.25,68.2178571428571,9.565,4.55,2015,02,201502
101,5.54516129032258,-1.57741935483871,13.0322580645161,4.49677419354839,250,1.61290322580645,-5.80322580645161,21.8709677419355,50.2064516129032,15.2051612903226,2.74516129032258,2015,03,201503
101,12.34,5.86666666666667,18.93,4.17666666666667,203.666666666667,1.62333333333333,3.21333333333333,32.2,60.2966666666667,15.0823333333333,5.02,2015,04,201504
101,19.0967741935484,11.9387096774194,25.8903225806452,4.06129032258064,233.548387096774,1.67096774193548,9.0741935483871,30.1290322580645,58.0548387096774,19.9674193548387,4.05483870967742,2015,05,201505
101,23.4166666666667,17.84,29.86,4.09666666666667,211.666666666667,1.58,15.55,35.9666666666667,65.76,20.2636666666667,5.79333333333333,2015,06,201506
101,25.0064516129032,21.3322580645161,29.4645161290323,3.95806451612903,233.870967741935,1.60967741935484,20.258064516129,54,77.9677419354839,14.7138709677419,7.1,2015,07,201507
101,25.6,21.6032258064516,30.9354838709677,3.63225806451613,240.322580645161,1.47741935483871,21.1870967741936,49.7096774193548,79.4129032258064,16.1767741935484,6,2015,08,201508
101,20.3766666666667,14.9233333333333,27.0933333333333,3.25333333333333,224.666666666667,1.32,14.2866666666667,39.4666666666667,72.43,15.1323333333333,4.27,2015,09,201509
101,13.6870967741936,7.82258064516129,20.5967741935484,3.18064516129032,234.193548387097,1.15161290322581,8.21612903225807,36.9333333333333,74.2838709677419,11.3267741935484,3.57741935483871,2015,10,201510
101,7.92,4.67666666666667,12.01,3.16333333333333,258.666666666667,1.27333333333333,5.00689655172414,59.2758620689655,82.88,5.48533333333333,7.04666666666667,2015,11,201511
101,-0.0161290322580643,-4.0741935483871,4.66774193548387,2.89032258064516,249.032258064516,1.09677419354839,-4.49032258064516,46.1290322580645,75.1935483870968,6.08483870967742,4.60645161290323,2015,12,201512
102,-0.57741935483871,-2.6258064516129,1.88709677419355,7.92258064516129,235.806451612903,4.36774193548387,-7.10645161290323,48.5806451612903,62.1806451612903,NaN,4.38709677419355,2015,01,201501
102,0.532142857142857,-1.69285714285714,3.03928571428571,8.05714285714286,251.785714285714,4.98571428571429,-6.475,46.25,60.8428571428571,NaN,4.68571428571429,2015,02,201502
102,3.99354838709677,1.16129032258065,7.70967741935484,7.89354838709677,222.58064516129,4.69666666666667,-4.06774193548387,38.5806451612903,59.3967741935484,NaN,3.5258064516129,2015,03,201503
102,10.0933333333333,6.67,14.05,8.79666666666667,195,5.17,0.583333333333333,33.2333333333333,56.03,NaN,4.09,2015,04,201504
102,14.6096774193548,11.4612903225806,18.4258064516129,9.42903225806452,222.258064516129,5.36129032258065,6.31935483870968,38.3870967741936,62.4129032258064,NaN,4.31935483870968,2015,05,201505
102,19.2833333333333,16.2733333333333,23.0366666666667,7.16,182.333333333333,3.74333333333333,14.9666666666667,57.5,78.1266666666667,NaN,5.69333333333334,2015,06,201506
