loc,t_avg,t_min,t_max,ws_max,wd_max,ws_avg,dt_avg,rh_min,rh_avg,sol_tot_rad,cld_tot_avg,year,mon,USE_YM
100,-3.1741935483871,-7.5258064516129,1.57096774193548,6.07096774193548,207.096774193548,2.79354838709677,-7.32258064516129,50.1612903225806,76.0806451612903,9.00096774193548,5.06333333333333,2020,01,202001
100,-2.69655172413793,-8.52413793103448,2.48275862068966,6.89655172413793,227.241379310345,3.26896551724138,-7.33103448275862,46.4137931034483,73.648275862069,13.248275862069,4.48620689655172,2020,02,202002
100,2.1258064516129,-4.21290322580645,8.41612903225806,7.44838709677419,232.903225806452,3.43870967741935,-3.6258064516129,37.4838709677419,70.058064516129,18.0548387096774,4.03548387096774,2020,03,202003
100,4.81,-1.61666666666667,11.09,7.5,209.333333333333,3.57,-2.15,37.8666666666667,65.9966666666667,20.4593333333333,4.31666666666667,2020,04,202004
100,12.7806451612903,7.31935483870968,18.5935483870968,6.6,207.096774193548,3.05161290322581,8.18709677419355,51.4516129032258,77.783870967742,20.5990322580645,5.71290322580645,2020,05,202005
100,18.7266666666667,13.38,24.3266666666667,5.55333333333333,171.333333333333,2.73666666666667,14.6866666666667,55.5,79.92,21.7033333333333,5.65333333333333,2020,06,202006
100,17.8612903225806,13.9096774193548,22.2709677419355,4.84193548387097,131.935483870968,2.08709677419355,16.0645161290323,74.6129032258064,90.4935483870968,16.4490322580645,6.96785714285714,2020,07,202007
100,22.1516129032258,19.4838709677419,25.7709677419355,5.90322580645161,231.290322580645,2.86451612903226,20.3838709677419,76.2258064516129,90.8032258064516,13.1483870967742,7.45806451612903,2020,08,202008
100,14.69,10.8166666666667,19.0533333333333,5.97333333333333,156.333333333333,2.98666666666667,12.6133333333333,70.3666666666667,88.7866666666667,12.776,6.47333333333333,2020,09,202009
100,7.86451612903226,2.04838709677419,14.6064516129032,5.2258064516129,194.838709677419,2.17096774193548,3.84516129032258,45.7741935483871,79.1225806451613,13.7964516129032,4.7,2020,10,202010
100,3.37666666666667,-2.18,8.92333333333334,7.18,241.333333333333,3.61333333333333,-3.02666666666667,41.4333333333333,67.6066666666667,10.867,3.78214285714286,2020,11,202011
100,-5.4,-10.1096774193548,-0.416129032258064,7.71290322580645,258.387096774194,4.08709677419355,-11.9612903225806,38.0322580645161,62.7451612903226,9.93225806451613,3.12258064516129,2020,12,202012
101,-0.0677419354838711,-4.59677419354839,5.68709677419355,3.23870967741936,212.58064516129,1.11612903225806,-5.39354838709678,41.1935483870968,70.3225806451613,8.23193548387097,NaN,2020,01,202001
101,1.37241379310345,-3.77931034482759,7.24137931034483,3.60689655172414,240.689655172414,1.26896551724138,-4.87931034482759,37.8275862068966,66.4655172413793,10.7186206896552,NaN,2020,02,202002
101,6.97096774193548,0.103225806451613,13.9322580645161,4.07096774193549,231.290322580645,1.52258064516129,-3.06129032258064,24.7096774193548,54.841935483871,15.7054838709677,NaN,2020,03,202003
101,10.5466666666667,3.19666666666667,17.4866666666667,5.09333333333333,221.333333333333,1.90333333333333,-0.763333333333333,25.2,50.8533333333333,19.3733333333333,NaN,2020,04,202004
101,18.1258064516129,12.9161290322581,23.7774193548387,3.88064516129032,232.903225806452,1.59677419354839,11.1322580645161,41.9354838709677,68.3096774193548,18.3154838709677,NaN,2020,05,202005
101,24.22,19.1566666666667,29.84,3.68333333333333,233.666666666667,1.66333333333333,16.8533333333333,43.4333333333333,66.7733333333333,20.6256666666667,NaN,2020,06,202006
101,23.8064516129032,20.1290322580645,28.1258064516129,3.63548387096774,250.322580645161,1.54193548387097,18.8741935483871,55.4193548387097,76.1032258064516,15.528064516129,NaN,2020,07,202007
101,26.1,23.6096774193548,29.4838709677419,3.48387096774194,220,1.30322580645161,22.9483870967742,65.7096774193548,84.2225806451613,11.3309677419355,NaN,2020,08,202008
101,19.6633333333333,15.8433333333333,24.81,3.85,236.333333333333,1.50333333333333,15.2666666666667,50.9666666666667,78.24,13.4843333333333,NaN,2020,09,202009
101,11.8806451612903,6.20322580645161,19.3774193548387,3.13548387096774,270,1.0741935483871,6.27096774193549,36.6774193548387,72.9548387096774,12.4067741935484,NaN,2020,10,202010
101,6.11666666666667,0.77,12.62,3.44,237.333333333333,1.15,-0.32,37.9333333333333,68.02,9.03033333333333,NaN,2020,11,202011
101,-2.70322580645161,-7.88709677419355,3.78064516129032,3.25161290322581,253.548387096774,0.961290322580645,-9.11612903225806,33.9677419354839,65.3903225806451,8.18548387096774,NaN,2020,12,202012
102,2.84193548387097,1.24193548387097,4.89032258064516,7.88709677419355,302.58064516129,4.49677419354839,-3.12903225806452,50.4838709677419,65.8258064516129,8.79129032258065,5.70967741935484,2020,01,202001
102,2.65172413793103,0.410344827586207,5.03448275862069,8.38275862068966,282.758620689655,4.64827586206896,-1.34827586206897,60.2758620689655,76.448275862069,10.5141379310345,5.62068965517241,2020,02,202002
102,6.09677419354839,3.26451612903226,9.21935483870968,9.76451612903226,302.903225806452,5.26129032258064,-0.332258064516129,41.0322580645161,66.4225806451613,18.7577419354839,3.39677419354839,2020,03,202003
102,9.41666666666667,6.70666666666667,12.4433333333333,8.94333333333333,265.666666666667,5.02666666666667,3.15333333333333,44.1666666666667,68.0033333333333,23.6803333333333,2.56333333333333,2020,04,202004
102,13.7387096774194,11.0064516129032,17.2290322580645,8.41935483870968,198.064516129032,4.15161290322581,11,67.9677419354839,86.1838709677419,17.4558064516129,6.76774193548387,2020,05,202005
102,18.9066666666667,15.8033333333333,22.6566666666667,6.31666666666667,232.666666666667,3.13,16.2066666666667,65.8666666666667,86.5833333333333,20.102,6.89,2020,06,202006
102,20.9903225806452,18.4838709677419,24.2774193548387,6.00322580645161,179.354838709677,2.84193548387097,19.3354838709677,74.6774193548387,91.3806451612903,19.7335483870968,7.19032258064516,2020,07,202007
102,23.7645161290323,22.1903225806452,25.9677419354839,7.19032258064516,187.096774193548,3.61612903225806,23.3129032258064,90.258064516129,97.9258064516129,11.6238709677419,8.93225806451613,2020,08,202008
102,20.4066666666667,17.9866666666667,23.2666666666667,6.29666666666667,243.333333333333,3.11333333333333,17.4266666666667,65.3,84.2433333333333,16.7063333333333,5.26,2020,09,202009
102,15.058064516129,12.4322580645161,17.8,7.2258064516129,293.870967741935,3.70322580645161,8.07096774193548,45.0322580645161,65.8290322580645,14.1412903225806,4.33870967741935,2020,10,202010
102,9.35333333333333,7.01666666666667,12.1233333333333,8.59333333333333,255.666666666667,4.75,3.21666666666667,51.1,67.7333333333333,8.76366666666666,4.99333333333333,2020,11,202011
102,2.41612903225806,0.0967741935483872,4.88387096774194,8.74193548387097,302.58064516129,5.29032258064516,-4.53225806451613,46.0322580645161,61.2935483870968,6.75387096774194,6.80645161290323,2020,12,202012
104,3.49677419354839,0.132258064516129,7.36774193548387,4.04193548387097,246.451612903226,1.80967741935484,-5.96774193548387,33.6129032258064,54.1741935483871,7.28064516129032,4.93225806451613,2020,01,202001
104,4.14827586206897,-0.355172413793103,8.65172413793104,4.59655172413793,240.689655172414,1.95862068965517,-5.89310344827586,30.8965517241379,52.0931034482759,11.498275862069,4.10344827586207,2020,02,202002
104,7.96129032258064,2.68064516129032,12.7677419354839,5.36129032258065,212.903225806452,2.11612903225806,-1.99354838709677,31.9677419354839,54.141935483871,16.9167741935484,3.56129032258064,2020,03,202003
104,10.8166666666667,5.73,15.7566666666667,5.41333333333333,200.333333333333,2.29333333333333,-0.796666666666667,28.2333333333333,50.0433333333333,19.1843333333333,3.98666666666667,2020,04,202004
104,17.0354838709677,12.7516129032258,21.9225806451613,4.44516129032258,195.806451612903,1.80967741935484,9.58387096774193,44.9032258064516,66.7483870967742,19.6922580645161,5.76451612903226,2020,05,202005
104,22.18,17.9633333333333,26.5266666666667,3.91666666666667,176.333333333333,1.55333333333333,15.7333333333333,51.9666666666667,70.4366666666667,20.4856666666667,5.60333333333333,2020,06,202006
104,21.0032258064516,18.2387096774194,24.1032258064516,3.27096774193548,157.41935483871,1.25161290322581,18.2322580645161,70.6451612903226,85.7161290322581,14.6912903225806,7.39354838709678,2020,07,202007
104,25.4096774193548,22.3,29.2774193548387,3.6,195.806451612903,1.33870967741935,21.7870967741936,63.1612903225806,82.1516129032258,12.3093548387097,7.63870967741936,2020,08,202008
104,19.3933333333333,15.8433333333333,23.31,4.07666666666667,206.333333333333,1.65,14.9666666666667,58.1,77.9266666666667,12.7626666666667,6.56666666666667,2020,09,202009
104,13.7129032258065,9.08387096774193,18.7774193548387,3.07741935483871,195.483870967742,1.18709677419355,5.85806451612903,37.9032258064516,62.1516129032258,12.8522580645161,4.14838709677419,2020,10,202010
104,9.88333333333333,5.03666666666667,14.5666666666667,4.03333333333333,200.666666666667,1.53333333333333,-1.95333333333333,28.3666666666667,46.8333333333333,9.569,3.42666666666667,2020,11,202011
104,1.69354838709677,-3.08064516129032,6.61290322580645,4.57096774193548,233.870967741935,1.78709677419355,-13.0354838709677,18.9032258064516,36.8448275862069,8.84483870967742,2.38064516129032,2020,12,202012
105,4.35483870967742,1.71290322580645,8.14193548387097,4.97096774193548,233.870967741935,2.68387096774194,-4.70645161290323,37.6451612903226,55.4161290322581,7.68225806451613,4.82903225806452,2020,01,202001
105,5.04137931034483,0.903448275862069,9.57241379310345,5.65172413793103,237.241379310345,2.78620689655172,-4.6448275862069,34.7241379310345,53.0620689655172,11.8951724137931,4.26551724137931,2020,02,202002
105,8.73225806451613,3.64193548387097,13.9193548387097,5.39032258064516,209.677419354839,2.63870967741936,-0.635483870967742,34.1612903225806,55.7387096774193,16.7770967741935,3.79354838709677,2020,03,202003
105,11.7733333333333,7.10666666666667,16.3966666666667,5.53333333333333,228.333333333333,2.83,0.61,32.0666666666667,50.9066666666667,19.0123333333333,4.06,2020,04,202004
105,18.3,14.2741935483871,22.9129032258064,4.73870967741936,214.838709677419,2.30645161290323,10.5516129032258,45.1290322580645,65.0096774193548,19.9538709677419,5.71290322580645,2020,05,202005
105,24.0866666666667,20.05,28.2333333333333,4.55333333333333,207.333333333333,2.2,16.7066666666667,50.6666666666667,66.5633333333333,20.6913333333333,5.53666666666667,2020,06,202006
105,22.4258064516129,19.6096774193548,25.5225806451613,3.53548387096774,197.096774193548,1.64516129032258,18.9870967741935,69.6129032258064,82.7129032258064,14.628064516129,6.86896551724138,2020,07,202007
105,27.0225806451613,24.0903225806452,30.5483870967742,4.4741935483871,216.774193548387,1.83225806451613,22.2709677419355,62.6451612903226,77.2806451612903,12.54,7.29032258064516,2020,08,202008
105,20.6333333333333,17.2333333333333,24.4866666666667,4.65,245.666666666667,2.22,15.4733333333333,57.2,74.54,13.0283333333333,6.06333333333333,2020,09,202009
105,15.0612903225806,10.7774193548387,20.1032258064516,4.40322580645161,247.096774193548,2.24193548387097,6.57096774193548,39.6774193548387,59.458064516129,13.1351612903226,4.2258064516129,2020,10,202010
105,10.9666666666667,6.74333333333333,15.6366666666667,5.29,236.333333333333,2.69333333333333,-0.516666666666667,32.0666666666667,47.6933333333333,10.204,3.65333333333333,2020,11,202011
